"","Név","Link","Gyártási idõszak","Kivitel","Üzemanyag","Hengerelrendezés","Hengerek száma","Hajtás","Hengerûrtartalom","Maximális teljesítmény","Kategória","Ajtók száma","Szállítható személyek száma","Saját tömeg","Össztömeg","Szélesség","Magasság","Hosszúság","Tengelytáv","Üzemanyagtank","Hasznos teher","Sebességváltó","Végsebesség","Gyorsulás 0-ról 100 km/h-ra","Maximális forgatónyomaték","Gumiméret","Újkori ára","Csomagtér térfogata","CO2-kibocsátás","Vegyes fogyasztás","Városi fogyasztás","Országúti fogyasztás","Fordulási kör átmérõje","Környezetvédelmi osztály"
"84","MASERATI Levante 3.0 D V6 GranSport (Automata)  (2018–)","https://katalogus.hasznaltauto.hu/maserati/levante_3.0_d_v6_gransport_automata-114500","2018–","Városi terepjáró (crossover)","Dízel","V","6 henger","Összkerék","2 987 cm3","202 kW, 275 LE","Terepjáró","5 ajtó","5 fõ","2 205 kg","2 895 kg","1 968 mm","1 679 mm","5 003 mm","3 004 mm","80 l","690 kg","Automata (8 fokozatú tiptronic) sebességváltó","230 km/h","6,9 s","600 Nm","265/45 R20 295/40 R20 ","30 123 417 Ft","580 l","189 g/km","7,2 l/100km","8,2 l/100km","6,6 l/100km",NA,"EURO 6"
"85","MASERATI Levante 3.8 V8 GTS (Automata)  (2020–)","https://katalogus.hasznaltauto.hu/maserati/levante_3.8_v8_gts_automata-129254","2020–","Városi terepjáró (crossover)","Benzin","V","8 henger","Összkerék","3 799 cm3","390 kW, 530 LE","Nagykocsi","5 ajtó","5 fõ","2 170 kg","2 780 kg","1 981 mm","1 698 mm","5 020 mm","3 004 mm","80 l","610 kg","Automata (8 fokozatú tiptronic) sebességváltó","292 km/h","4,2 s","730 Nm","265/45 R20 295/40 R20 ","51 833 482 Ft","580 l","313 g/km","13,5 l/100km","18,8 l/100km","10,5 l/100km",NA,"EURO 6"
"86","MASERATI Levante 3.8 V8 Trofeo (Automata)  (2020–)","https://katalogus.hasznaltauto.hu/maserati/levante_3.8_v8_trofeo_automata-129255","2020–","Városi terepjáró (crossover)","Benzin","V","8 henger","Összkerék","3 799 cm3","426 kW, 579 LE","Nagykocsi","5 ajtó","5 fõ","2 170 kg","2 780 kg","1 981 mm","1 698 mm","5 020 mm","3 004 mm","80 l","610 kg","Automata (8 fokozatú tiptronic) sebességváltó","304 km/h","3,9 s","730 Nm","265/40 R21 295/35 R21 ","59 370 362 Ft","580 l","313 g/km","13,5 l/100km","18,8 l/100km","10,5 l/100km",NA,"EURO 6"
"87","MASERATI 2.0 (1976-1983)","https://katalogus.hasznaltauto.hu/maserati/2.0-71894","1976-1983","Coupe","Benzin","V","6 henger","Hátsó kerék","1 999 cm3","125 kW, 170 LE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","MASERATI 3.0 SS (1975-1983)","https://katalogus.hasznaltauto.hu/maserati/3.0_ss-71895","1975-1983","Coupe","Benzin","V","6 henger","Hátsó kerék","2 965 cm3","162 kW, 220 LE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","MASERATI 3.0 (1971-1974)","https://katalogus.hasznaltauto.hu/maserati/3.0-71896","1971-1974","Lépcsõshátú","Benzin",NA,"6 henger",NA,"2 965 cm3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","MASERATI 3.0 12V (1975-1982)","https://katalogus.hasznaltauto.hu/maserati/3.0_12v-71897","1975-1982","Coupe","Benzin",NA,"6 henger","Hátsó kerék","2 965 cm3",NA,NA,"2 ajtó",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Manuális sebességváltó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","MASERATI 3.0 12V (1980-1982)","https://katalogus.hasznaltauto.hu/maserati/3.0_12v-71898","1980-1982","Coupe","Benzin",NA,"6 henger","Hátsó kerék","2 965 cm3",NA,NA,"2 ajtó",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Manuális sebességváltó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","MASERATI 4.2 (1967-1972)","https://katalogus.hasznaltauto.hu/maserati/4.2-71899","1967-1972","Coupe","Benzin",NA,"8 henger","Hátsó kerék","4 136 cm3","191 kW, 260 LE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","MASERATI 4.7 (1967-1972)","https://katalogus.hasznaltauto.hu/maserati/4.7-71900","1967-1972","Coupe","Benzin",NA,"8 henger","Hátsó kerék","4 710 cm3","213 kW, 290 LE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
