"","Név","Link","Gyártási idõszak","Kivitel","Üzemanyag","Hengerelrendezés","Hengerek száma","Hajtás","Hengerûrtartalom","Maximális teljesítmény","Kategória","Ajtók száma","Szállítható személyek száma","Saját tömeg","Össztömeg","Szélesség","Magasság","Hosszúság","Tengelytáv","Üzemanyagtank","Hasznos teher","Sebességváltó","Végsebesség","Gyorsulás 0-ról 100 km/h-ra","Maximális forgatónyomaték","Gumiméret","Újkori ára","Csomagtér térfogata","CO2-kibocsátás","Vegyes fogyasztás","Városi fogyasztás","Országúti fogyasztás","Fordulási kör átmérõje","Környezetvédelmi osztály"
"115","MASERATI Quattroporte 3.8 V8 GTS (Automata)  (2013–)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.8_v8_gts_automata-15502","2013–","Sedan","Benzin","V","8 henger","Hátsó kerék","3 798 cm3","390 kW, 530 LE","Nagykocsi","4 ajtó","4 fõ",NA,"1 900 kg","1 948 mm","1 481 mm","5 262 mm","3 171 mm","80 l",NA,"Automata (8 fokozatú tiptronic) sebességváltó","307 km/h","4,7 s","650 Nm","245/40 R20 ","51 246 355 Ft","530 l","274 g/km","11,8 l/100km","17,4 l/100km","8,5 l/100km","12 m","EURO 5"
"116","MASERATI Quattroporte 3.0 V6 S (Automata)  (2016–)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.0_v6_s_automata-100718","2016–","Sedan","Benzin","V","6 henger","Hátsó kerék","2 979 cm3","301 kW, 409 LE","Nagykocsi","4 ajtó","4 fõ","1 645 kg","2 065 kg","1 948 mm","1 481 mm","5 262 mm","3 171 mm","80 l","420 kg","Automata (8 fokozatú tiptronic) sebességváltó","285 km/h","5,1 s","550 Nm","245/45 R19 ","36 863 510 Ft","530 l","242 g/km","10,4 l/100km","15,7 l/100km","7,4 l/100km","12 m","EURO 6"
"117","MASERATI Quattroporte 3.0 D (Automata)  (2016–)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.0_d_automata-100719","2016–","Sedan","Dízel","V","6 henger","Hátsó kerék","2 987 cm3","202 kW, 275 LE","Nagykocsi","4 ajtó","4 fõ","1 645 kg","2 065 kg","1 948 mm","1 481 mm","5 262 mm","3 171 mm","70 l","420 kg","Automata (8 fokozatú tiptronic) sebességváltó","250 km/h","6,4 s","660 Nm","245/45 R19 ","33 710 800 Ft","530 l","163 g/km","6,2 l/100km","7,8 l/100km","5,2 l/100km","12 m","EURO 6"
"118","MASERATI Quattroporte 3.0 V6 S Q4 EURO6 (Automata)  (2016–)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.0_v6_s_q4_euro6_automata-103751","2016–","Sedan","Benzin","V","6 henger","Összkerék","2 979 cm3","301 kW, 409 LE","Nagykocsi","4 ajtó","4 fõ","1 645 kg","2 065 kg","1 948 mm","1 481 mm","5 262 mm","3 171 mm","80 l","420 kg","Automata (8 fokozatú tiptronic) sebességváltó","283 km/h","4,9 s","550 Nm","245/45 R19 ","38 310 357 Ft","530 l","246 g/km","10,6 l/100km","15,4 l/100km","7,8 l/100km","12 m","EURO 6"
"119","MASERATI Quattroporte 3.8 V8 GTS EURO6 (Automata)  (2016–)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.8_v8_gts_euro6_automata-103752","2016–","Sedan","Benzin","V","8 henger","Hátsó kerék","3 798 cm3","390 kW, 530 LE","Nagykocsi","4 ajtó","4 fõ","1 645 kg","2 065 kg","1 948 mm","1 481 mm","5 262 mm","3 171 mm","80 l","420 kg","Automata (8 fokozatú tiptronic) sebességváltó","307 km/h","4,7 s","650 Nm","245/40 R20 ","51 745 370 Ft","530 l","274 g/km","11,8 l/100km","17,4 l/100km","8,5 l/100km","12 m","EURO 6"
"120","MASERATI Quattroporte 3.0 V6 S (Automata)  (2018.)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.0_v6_s_automata-117558","2018.","Sedan","Benzin","V","6 henger","Hátsó kerék","2 979 cm3","316 kW, 430 LE","Nagykocsi","4 ajtó","4 fõ","1 685 kg","2 105 kg","1 948 mm","1 481 mm","5 262 mm","3 171 mm","80 l","420 kg","Automata (8 fokozatú tiptronic) sebességváltó","288 km/h","5,0 s","580 Nm","245/45 R19 ","40 047 212 Ft","530 l","223 g/km","9,6 l/100km",NA,NA,"12 m","EURO 6"
"121","MASERATI Quattroporte 3.0 V6 S GranLusso (Automata)  (2018.)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.0_v6_s_granlusso_automata-117559","2018.","Sedan","Benzin","V","6 henger","Hátsó kerék","2 979 cm3","316 kW, 430 LE","Nagykocsi","4 ajtó","4 fõ","1 685 kg","2 105 kg","1 948 mm","1 481 mm","5 262 mm","3 171 mm","80 l","420 kg","Automata (8 fokozatú tiptronic) sebességváltó","288 km/h","5,0 s","580 Nm","245/40 R20 ","44 049 173 Ft","530 l","223 g/km","9,6 l/100km",NA,NA,"12 m","EURO 6"
"122","MASERATI Quattroporte 3.0 V6 S GranSport (Automata)  (2018.)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.0_v6_s_gransport_automata-117560","2018.","Sedan","Benzin","V","6 henger","Hátsó kerék","2 979 cm3","316 kW, 430 LE","Nagykocsi","4 ajtó","4 fõ","1 685 kg","2 105 kg","1 948 mm","1 481 mm","5 262 mm","3 171 mm","80 l","420 kg","Automata (8 fokozatú tiptronic) sebességváltó","288 km/h","5,0 s","580 Nm","245/35 R21 285/30 R21 ","44 049 173 Ft","530 l","223 g/km","9,6 l/100km",NA,NA,"12 m","EURO 6"
"123","MASERATI Quattroporte 3.0 V6 S Q4 (Automata)  (2018–)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.0_v6_s_q4_automata-117561","2018–","Sedan","Benzin","V","6 henger","Összkerék","2 979 cm3","316 kW, 430 LE","Nagykocsi","4 ajtó","4 fõ","1 685 kg","2 105 kg","1 948 mm","1 481 mm","5 262 mm","3 171 mm","80 l","420 kg","Automata (8 fokozatú tiptronic) sebességváltó","288 km/h","4,8 s","580 Nm","245/45 R19 ","42 394 046 Ft","530 l","278 g/km","12,0 l/100km",NA,NA,"12 m","EURO 6"
"124","MASERATI Quattroporte 3.0 V6 S Q4 GranLusso (Automata)  (2018–)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.0_v6_s_q4_granlusso_automata-117562","2018–","Sedan","Benzin","V","6 henger","Összkerék","2 979 cm3","316 kW, 430 LE","Nagykocsi","4 ajtó","4 fõ","1 685 kg","2 105 kg","1 948 mm","1 481 mm","5 262 mm","3 171 mm","80 l","420 kg","Automata (8 fokozatú tiptronic) sebességváltó","288 km/h","4,8 s","580 Nm","245/40 R20 ","46 480 258 Ft","530 l","278 g/km","12,0 l/100km",NA,NA,"12 m","EURO 6"
"125","MASERATI Quattroporte 3.0 V6 S Q4 GranSport (Automata)  (2018–)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.0_v6_s_q4_gransport_automata-117563","2018–","Sedan","Benzin","V","6 henger","Összkerék","2 979 cm3","316 kW, 430 LE","Nagykocsi","4 ajtó","4 fõ","1 685 kg","2 105 kg","1 948 mm","1 481 mm","5 262 mm","3 171 mm","80 l","420 kg","Automata (8 fokozatú tiptronic) sebességváltó","288 km/h","4,8 s","580 Nm","245/35 R21 285/30 R21 ","46 480 258 Ft","530 l","278 g/km","12,0 l/100km",NA,NA,"12 m","EURO 6"
"126","MASERATI Quattroporte 3.8 V8 GTS EURO6 GranLusso (Automata)  (2018.)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.8_v8_gts_euro6_granlusso_automata-117564","2018.","Sedan","Benzin","V","8 henger","Hátsó kerék","3 798 cm3","390 kW, 530 LE","Nagykocsi","4 ajtó","4 fõ","1 645 kg","2 065 kg","1 948 mm","1 481 mm","5 262 mm","3 171 mm","80 l","420 kg","Automata (8 fokozatú tiptronic) sebességváltó","307 km/h","4,7 s","650 Nm","245/40 R20 ","58 230 436 Ft","530 l","274 g/km","11,8 l/100km","17,4 l/100km","8,5 l/100km","12 m","EURO 6"
"127","MASERATI Quattroporte 3.8 V8 GTS EURO6 GranSport (Automata)  (2018.)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.8_v8_gts_euro6_gransport_automata-117565","2018.","Sedan","Benzin","V","8 henger","Hátsó kerék","3 798 cm3","390 kW, 530 LE","Nagykocsi","4 ajtó","4 fõ","1 645 kg","2 065 kg","1 948 mm","1 481 mm","5 262 mm","3 171 mm","80 l","420 kg","Automata (8 fokozatú tiptronic) sebességváltó","307 km/h","4,7 s","650 Nm","245/35 R21 285/30 R21 ","58 230 436 Ft","530 l","274 g/km","11,8 l/100km","17,4 l/100km","8,5 l/100km","12 m","EURO 6"
"128","MASERATI Quattroporte 3.0 D GranLusso (Automata)  (2018–)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.0_d_granlusso_automata-117566","2018–","Sedan","Dízel","V","6 henger","Hátsó kerék","2 987 cm3","202 kW, 275 LE","Nagykocsi","4 ajtó","4 fõ","1 645 kg","2 065 kg","1 948 mm","1 481 mm","5 262 mm","3 171 mm","70 l","420 kg","Automata (8 fokozatú tiptronic) sebességváltó","250 km/h","6,4 s","660 Nm","245/40 R20 ","40 681 431 Ft","530 l","163 g/km","6,2 l/100km","7,8 l/100km","5,2 l/100km","12 m","EURO 6"
"129","MASERATI Quattroporte 3.0 D GranSport (Automata)  (2018–)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.0_d_gransport_automata-117567","2018–","Sedan","Dízel","V","6 henger","Hátsó kerék","2 987 cm3","202 kW, 275 LE","Nagykocsi","4 ajtó","4 fõ","1 645 kg","2 065 kg","1 948 mm","1 481 mm","5 262 mm","3 171 mm","70 l","420 kg","Automata (8 fokozatú tiptronic) sebességváltó","250 km/h","6,4 s","660 Nm","245/35 R21 285/30 R21 ","40 681 431 Ft","530 l","163 g/km","6,2 l/100km","7,8 l/100km","5,2 l/100km","12 m","EURO 6"
"130","MASERATI Quattroporte 3.0 V6 S (Automata)  (2020–)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.0_v6_s_automata-128358","2020–","Sedan","Benzin","V","6 henger","Hátsó kerék","2 979 cm3","316 kW, 430 LE","Nagykocsi","4 ajtó","4 fõ","1 685 kg","2 105 kg","1 948 mm","1 481 mm","5 262 mm","3 171 mm","80 l","420 kg","Automata (8 fokozatú tiptronic) sebességváltó","288 km/h","5,0 s","580 Nm","245/45 R19 275/40 R19 ","43 467 889 Ft","530 l","226 g/km","9,7 l/100km",NA,NA,"12 m","EURO 6"
"131","MASERATI Quattroporte 3.0 V6 S GranLusso (Automata)  (2020–)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.0_v6_s_granlusso_automata-128359","2020–","Sedan","Benzin","V","6 henger","Hátsó kerék","2 979 cm3","316 kW, 430 LE","Nagykocsi","4 ajtó","4 fõ","1 685 kg","2 105 kg","1 948 mm","1 481 mm","5 262 mm","3 171 mm","80 l","420 kg","Automata (8 fokozatú tiptronic) sebességváltó","288 km/h","5,0 s","580 Nm","245/40 R20 285/35 R20 ","47 817 728 Ft","530 l","226 g/km","9,7 l/100km",NA,NA,"12 m","EURO 6"
"132","MASERATI Quattroporte 3.0 V6 S GranSport (Automata)  (2020–)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.0_v6_s_gransport_automata-128360","2020–","Sedan","Benzin","V","6 henger","Hátsó kerék","2 979 cm3","316 kW, 430 LE","Nagykocsi","4 ajtó","4 fõ","1 685 kg","2 105 kg","1 948 mm","1 481 mm","5 262 mm","3 171 mm","80 l","420 kg","Automata (8 fokozatú tiptronic) sebességváltó","288 km/h","5,0 s","580 Nm","245/35 R21 285/30 R21 ","47 817 728 Ft","530 l","226 g/km","9,7 l/100km",NA,NA,"12 m","EURO 6"
"133","MASERATI Shamal V8 (1991-1996)","https://katalogus.hasznaltauto.hu/maserati/shamal_v8-15475","1991-1996","Coupe","Benzin","V","8 henger","Hátsó kerék","3 217 cm3","240 kW, 326 LE","Nagykocsi","2 ajtó","4 fõ","1 420 kg","1 765 kg","1 850 mm","1 300 mm","4 100 mm","2 400 mm","80 l","345 kg","Manuális (6 fokozatú) sebességváltó","270 km/h","5,3 s","436 Nm","225/45 ZR16 ",NA,NA,NA,NA,NA,NA,NA,NA
"134","MASERATI Spyder (1992-1994)","https://katalogus.hasznaltauto.hu/maserati/spyder-15478","1992-1994","Cabrio","Benzin","V","6 henger","Hátsó kerék","1 996 cm3","164 kW, 223 LE","Nagykocsi","2 ajtó","4 fõ",NA,NA,"1 715 mm","1 310 mm","4 040 mm","2 400 mm","80 l",NA,"Manuális (5 fokozatú) sebességváltó",NA,NA,NA,"205/45 ZR16 ",NA,NA,NA,NA,NA,NA,NA,NA
"135","MASERATI Spyder (1991-1995)","https://katalogus.hasznaltauto.hu/maserati/spyder-15479","1991-1995","Cabrio","Benzin","V","6 henger","Hátsó kerék","2 790 cm3","165 kW, 224 LE","Nagykocsi","2 ajtó","4 fõ",NA,NA,"1 715 mm","1 310 mm","4 040 mm","2 400 mm","80 l",NA,"Manuális (5 fokozatú) sebességváltó","220 km/h","6,2 s","363 Nm","205/45 ZR16 ",NA,NA,NA,NA,NA,NA,NA,NA
"136","MASERATI Spyder GT (2004-2006)","https://katalogus.hasznaltauto.hu/maserati/spyder_gt-15482","2004-2006","Coupe","Benzin","V","8 henger","Hátsó kerék","4 244 cm3","287 kW, 390 LE","Nagykocsi","2 ajtó","2 fõ","1 720 kg","1 940 kg","1 822 mm","1 305 mm","4 303 mm","2 660 mm","88 l","220 kg","Manuális (6 fokozatú) sebességváltó","285 km/h","5,0 s","451 Nm","235/40 ZR18 265/35 ZR18 ","24 750 000 Ft","300 l","390 g/km","16,6 l/100km",NA,NA,NA,NA
"137","MASERATI Spyder Cambiocorsa (Automata)  (2004-2006)","https://katalogus.hasznaltauto.hu/maserati/spyder_cambiocorsa_automata-15483","2004-2006","Coupe","Benzin","V","8 henger","Hátsó kerék","4 244 cm3","287 kW, 390 LE","Nagykocsi","2 ajtó","2 fõ","1 730 kg","1 940 kg","1 822 mm","1 305 mm","4 303 mm","2 660 mm","88 l","210 kg","Automata (6 fokozatú) sebességváltó","283 km/h","5,0 s","451 Nm","235/40 ZR18 265/35 ZR18 ","26 484 375 Ft","300 l","390 g/km","16,6 l/100km",NA,NA,NA,NA
"138","MASERATI Spyder 90 (2004-2005)","https://katalogus.hasznaltauto.hu/maserati/spyder_90-15484","2004-2005","Coupe","Benzin","V","8 henger","Hátsó kerék","4 244 cm3","287 kW, 390 LE","Nagykocsi","2 ajtó","2 fõ","1 730 kg","1 940 kg","1 822 mm","1 305 mm","4 303 mm","2 660 mm","88 l","210 kg","Manuális (6 fokozatú) sebességváltó","283 km/h","5,0 s","451 Nm","235/40 ZR18 265/35 ZR18 ","28 250 000 Ft","300 l","390 g/km","16,6 l/100km",NA,NA,NA,NA
