"","ID","Név","Link","Kategória","Kivitel","Üzemanyag","Újkori.ára.(mHUF)","Hengerek.száma","Maximális.teljesítmény.(kW)","Maximális.teljesítmény.(LE)","Végsebesség.(km/h)","Gyorsulás.(s)","CO2.kibocsátás.(g/km)","Vegyes.fogyasztás.(l)","Össztömeg.(kg)","Szélesség.(mm)","Hosszúság.(mm)","Magasság.(mm)","Ajtók.száma","Szállítható.személyek.száma"
"35",35,"MASERATI Ghibli 3.0 V6 S Q4 GranLusso (Automata)  (2018–)","https://katalogus.hasznaltauto.hu/maserati/ghibli_3.0_v6_s_q4_granlusso_automata-112316","Nagykocsi","Coupe","Benzin",35.148391,6,316,430,284,4.8,246,10.51,2530,1945,4971,1461,4,5
"36",36,"MASERATI Ghibli 3.0 V6 S Q4 GranSport (Automata)  (2018–)","https://katalogus.hasznaltauto.hu/maserati/ghibli_3.0_v6_s_q4_gransport_automata-112317","Nagykocsi","Coupe","Benzin",35.148391,6,316,430,284,4.8,246,10.51,2530,1945,4971,1461,4,5
"37",37,"MASERATI Ghibli 3.0 D V6 GranLusso (Automata)  (2018–)","https://katalogus.hasznaltauto.hu/maserati/ghibli_3.0_d_v6_granlusso_automata-112318","Nagykocsi","Coupe","Dízel",28.356235,6,202,275,250,6.3,158,5.91,2540,1945,4971,1461,4,5
"38",38,"MASERATI Ghibli 3.0 D V6 GranSport (Automata)  (2018–)","https://katalogus.hasznaltauto.hu/maserati/ghibli_3.0_d_v6_gransport_automata-112319","Nagykocsi","Coupe","Dízel",28.356235,6,202,275,250,6.3,158,5.91,2540,1945,4971,1461,4,5
"39",39,"MASERATI Ghibli 3.0 V6 S (Automata)  (2020–)","https://katalogus.hasznaltauto.hu/maserati/ghibli_3.0_v6_s_automata-128355","Nagykocsi","Coupe","Benzin",33.556983,6,316,430,284,4.8,226,9.71,2470,1945,4971,1461,4,5
"40",40,"MASERATI Ghibli 3.0 V6 S GranLusso (Automata)  (2020–)","https://katalogus.hasznaltauto.hu/maserati/ghibli_3.0_v6_s_granlusso_automata-128356","Nagykocsi","Coupe","Benzin",37.503229,6,316,430,284,4.8,226,9.71,2470,1945,4971,1461,4,5
"41",41,"MASERATI Ghibli 3.0 V6 S GranSport (Automata)  (2020–)","https://katalogus.hasznaltauto.hu/maserati/ghibli_3.0_v6_s_gransport_automata-128357","Nagykocsi","Coupe","Benzin",37.503229,6,316,430,284,4.8,226,9.71,2470,1945,4971,1461,4,5
"42",42,"MASERATI GranCabrio (Automata)  (2010-2012)","https://katalogus.hasznaltauto.hu/maserati/grancabrio_automata-15511","Nagykocsi","Cabrio","Benzin",45.51802,8,323,439,283,5.3,357,15.21,2280,1915,4881,1353,2,4
"43",43,"MASERATI GranCabrio 4.7 (Automata)  (2013–)","https://katalogus.hasznaltauto.hu/maserati/grancabrio_4.7_automata-15512","Nagykocsi","Cabrio","Benzin",46.519928,8,331,450,NA,5.2,337,14.51,2280,1915,4881,1380,2,4
"44",44,"MASERATI GranCabrio 4.7 Sport (Automata)  (2013–)","https://katalogus.hasznaltauto.hu/maserati/grancabrio_4.7_sport_automata-15513","Nagykocsi","Cabrio","Benzin",48.999903,8,331,450,NA,5.2,337,14.51,2280,1915,4881,1380,2,4
"45",45,"MASERATI GranCabrio 4.7 MC (Automata)  (2013–)","https://katalogus.hasznaltauto.hu/maserati/grancabrio_4.7_mc_automata-15514","Nagykocsi","Cabrio","Benzin",52.899895,8,331,450,NA,5.2,337,14.51,2280,1915,4881,1380,2,4
"46",46,"MASERATI GranCabrio 4.7 MC Centenario (Automata)  (2016–)","https://katalogus.hasznaltauto.hu/maserati/grancabrio_4.7_mc_centenario_automata-100720","Nagykocsi","Cabrio","Benzin",59.554212,8,338,460,NA,5.2,337,14.51,2280,1915,4881,1380,2,4
"47",47,"MASERATI GranCabrio 4.7 EURO6 (Automata)  (2016–)","https://katalogus.hasznaltauto.hu/maserati/grancabrio_4.7_euro6_automata-103756","Nagykocsi","Cabrio","Benzin",46.874041,8,331,450,NA,5.2,337,14.51,2280,1915,4881,1380,2,4
"48",48,"MASERATI GranCabrio 4.7 Sport EURO6 (Automata)  (2016–)","https://katalogus.hasznaltauto.hu/maserati/grancabrio_4.7_sport_euro6_automata-103757","Nagykocsi","Cabrio","Benzin",49.354351,8,338,460,NA,5.2,337,14.51,2280,1915,4881,1380,2,4
"49",49,"MASERATI GranCabrio 4.7 MC EURO6 (Automata)  (2016–)","https://katalogus.hasznaltauto.hu/maserati/grancabrio_4.7_mc_euro6_automata-103758","Nagykocsi","Cabrio","Benzin",53.254225,8,338,460,NA,5.2,337,14.51,2280,1915,4881,1380,2,4
"50",50,"MASERATI GranSport Coupe (2004-2008)","https://katalogus.hasznaltauto.hu/maserati/gransport_coupe-15509","Nagykocsi","Coupe","Benzin",30.3951,8,295,401,290,4.8,437,18.61,NA,1822,4523,1295,2,4
"51",51,"MASERATI GranSport Spyder (2006-2008)","https://katalogus.hasznaltauto.hu/maserati/gransport_spyder-15510","Nagykocsi","Cabrio","Benzin",31.73385,8,295,401,290,4.8,437,18.61,NA,1822,4523,1295,2,4
"52",52,"MASERATI GranTurismo (Automata)  (2007-2012)","https://katalogus.hasznaltauto.hu/maserati/granturismo_automata-15503","Nagykocsi","Coupe","Benzin",38.60874,8,295,401,290,NA,451,19.21,2180,1847,4881,1353,2,4
"53",53,"MASERATI GranTurismo S (Automata)  (2009-2012)","https://katalogus.hasznaltauto.hu/maserati/granturismo_s_automata-15504","Nagykocsi","Coupe","Benzin",41.58142,8,323,439,303,4.9,336,14.31,2180,1847,4881,1353,2,4
"54",54,"MASERATI GranTurismo DS (Automata)  (2009-2012)","https://katalogus.hasznaltauto.hu/maserati/granturismo_ds_automata-15505","Nagykocsi","Coupe","Benzin",43.58889,8,323,439,303,4.9,336,14.31,2180,1847,4881,1353,2,4
"55",55,"MASERATI GranTurismo 4.2 (Automata)  (2013–)","https://katalogus.hasznaltauto.hu/maserati/granturismo_4.2_automata-15506","Nagykocsi","Coupe","Benzin",39.403072,8,302,411,285,5.2,330,14.31,1955,2056,4881,1353,2,4
"56",56,"MASERATI GranTurismo 4.7 Sport (Automata)  (2013–)","https://katalogus.hasznaltauto.hu/maserati/granturismo_4.7_sport_automata-15507","Nagykocsi","Coupe","Benzin",43.340859,8,338,460,298,4.8,331,14.31,1880,2056,4881,1353,2,4
"57",57,"MASERATI GranTurismo 4.7 MC Stradale (Automata)  (2013–)","https://katalogus.hasznaltauto.hu/maserati/granturismo_4.7_mc_stradale_automata-15508","Nagykocsi","Coupe","Benzin",53.31328,8,338,460,303,4.5,337,14.41,1800,2044,4933,1343,2,4
"58",58,"MASERATI GranTurismo 4.7 Sport CC (Automata)  (2016–)","https://katalogus.hasznaltauto.hu/maserati/granturismo_4.7_sport_cc_automata-100716","Nagykocsi","Coupe","Benzin",45.606603,8,338,460,298,4.8,331,14.31,2180,2056,4881,1353,2,4
"59",59,"MASERATI GranTurismo 4.7 MC Centenario (Automata)  (2016–)","https://katalogus.hasznaltauto.hu/maserati/granturismo_4.7_mc_centenario_automata-100717","Nagykocsi","Coupe","Benzin",57.900672,8,338,460,303,4.5,337,14.41,2180,2044,4933,1343,2,4
"60",60,"MASERATI GranTurismo 4.2 EURO6 (Automata)  (2016–)","https://katalogus.hasznaltauto.hu/maserati/granturismo_4.2_euro6_automata-103753","Nagykocsi","Coupe","Benzin",39.757205,8,302,411,285,5.2,330,14.31,2180,2056,4881,1353,2,4
"61",61,"MASERATI GranTurismo 4.7 Sport EURO6 (Automata)  (2016–)","https://katalogus.hasznaltauto.hu/maserati/granturismo_4.7_sport_euro6_automata-103754","Nagykocsi","Coupe","Benzin",39.757205,8,338,460,298,4.8,331,14.31,2180,2056,4881,1353,2,4
"62",62,"MASERATI GranTurismo 4.7 MC Stradale EURO6 (Automata)  (2016–)","https://katalogus.hasznaltauto.hu/maserati/granturismo_4.7_mc_stradale_euro6_automata-103755","Nagykocsi","Coupe","Benzin",39.757205,8,338,460,303,4.5,337,14.41,2180,2044,4933,1343,2,4
"63",63,"MASERATI 3200 GT (1998-2002)","https://katalogus.hasznaltauto.hu/maserati/3200_gt-15476","Nagykocsi","Coupe","Benzin",26.99,8,271,369,280,4.9,381,16.21,1910,1822,4510,1305,2,4
"64",64,"MASERATI 3200 GT (Automata)  (1998-2002)","https://katalogus.hasznaltauto.hu/maserati/3200_gt_automata-15477","Nagykocsi","Coupe","Benzin",27.99,8,271,369,280,4.9,381,16.21,1940,1822,4510,1305,2,4
"65",65,"MASERATI 4.2 (1969-1974)","https://katalogus.hasznaltauto.hu/maserati/4.2-71888",NA,"Coupe","Benzin",NA,8,191,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",66,"MASERATI 4.7 (1972-1974)","https://katalogus.hasznaltauto.hu/maserati/4.7-71889",NA,"Coupe","Benzin",NA,8,213,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",67,"MASERATI 4.9 (1972-1974)","https://katalogus.hasznaltauto.hu/maserati/4.9-71890",NA,"Coupe","Benzin",NA,8,235,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",68,"MASERATI 4.1 (1969-1970)","https://katalogus.hasznaltauto.hu/maserati/4.1-71891",NA,"Lépcsõshátú","Benzin",NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",69,"MASERATI 4.2 (1971.)","https://katalogus.hasznaltauto.hu/maserati/4.2-71892",NA,"Lépcsõshátú","Benzin",NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",70,"MASERATI 4.7 (1972-1973)","https://katalogus.hasznaltauto.hu/maserati/4.7-71893",NA,"Lépcsõshátú","Benzin",NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",71,"MASERATI 4.9 (1974-1982)","https://katalogus.hasznaltauto.hu/maserati/4.9-78774",NA,"Coupe","Benzin",NA,8,235,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
