"","ID","Név","Link","Kategória","Kivitel","Üzemanyag","Újkori.ára.(mHUF)","Hengerek.száma","Maximális.teljesítmény.(kW)","Maximális.teljesítmény.(LE)","Végsebesség.(km/h)","Gyorsulás.(s)","CO2.kibocsátás.(g/km)","Vegyes.fogyasztás.(l)","Össztömeg.(kg)","Szélesség.(mm)","Hosszúság.(mm)","Magasság.(mm)","Ajtók.száma","Szállítható.személyek.száma"
"95",95,"MASERATI 4.7 (1968.)","https://katalogus.hasznaltauto.hu/maserati/4.7-71902",NA,"Lépcsõshátú","Benzin",NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",96,"MASERATI 3.7 (1968-1970)","https://katalogus.hasznaltauto.hu/maserati/3.7-78779",NA,"Lépcsõshátú","Benzin",NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",97,"MASERATI 4.0 (1968-1970)","https://katalogus.hasznaltauto.hu/maserati/4.0-78780",NA,"Lépcsõshátú","Benzin",NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",98,"MASERATI Quattroporte 24V (1995-1998)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_24v-15485","Nagykocsi","Sedan","Benzin",18.69,6,209,284,260,5.9,244,10.41,1945,1810,4550,1380,4,5
"99",99,"MASERATI Quattroporte 24V (1995-1998)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_24v-15486","Nagykocsi","Sedan","Benzin",19.99,6,209,284,260,5.9,336,14.31,1960,1810,4550,1380,4,5
"100",100,"MASERATI Quattroporte 24V (Automata)  (1997-2001)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_24v_automata-15487","Nagykocsi","Sedan","Benzin",NA,6,209,284,255,5.9,NA,NA,1960,1810,4550,1380,4,5
"101",101,"MASERATI Quattroporte V6 Evoluzione (1998-2002)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_v6_evoluzione-15488","Nagykocsi","Sedan","Benzin",23.59,6,209,284,260,5.9,254,10.81,1960,1810,4550,1380,4,5
"102",102,"MASERATI Quattroporte V6 Evoluzione (Automata)  (1998-2002)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_v6_evoluzione_automata-15489","Nagykocsi","Sedan","Benzin",24.55,6,209,284,260,5.9,261,11.11,1960,1810,4550,1380,4,5
"103",103,"MASERATI Quattroporte V8 32V (1995-1998)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_v8_32v-15490","Nagykocsi","Sedan","Benzin",22.99,8,247,336,270,5.8,362,15.41,2045,1810,4550,1380,4,5
"104",104,"MASERATI Quattroporte V8 32V (Automata)  (1995-1998)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_v8_32v_automata-15491","Nagykocsi","Sedan","Benzin",24.49,8,247,336,265,6.5,385,16.41,2045,1810,4550,1380,4,5
"105",105,"MASERATI Quattroporte V8 Evoluzione (1998-2002)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_v8_evoluzione-15492","Nagykocsi","Sedan","Benzin",25.99,8,247,336,270,5.8,376,16.01,2045,1810,4550,1380,4,5
"106",106,"MASERATI Quattroporte V8 Evoluzione (Automata)  (1998-2002)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_v8_evoluzione_automata-15493","Nagykocsi","Sedan","Benzin",26.99,8,247,336,270,5.8,376,16.01,2045,1810,4550,1380,4,5
"107",107,"MASERATI Quattroporte FC (2004-2009)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_fc-15494","Nagykocsi","Sedan","Benzin",36.50556,8,294,400,275,5.2,407,17.31,1930,1895,5052,1438,4,4
"108",108,"MASERATI Quattroporte Sport GT (2006-2008)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_sport_gt-15495","Nagykocsi","Sedan","Benzin",34.7403,8,294,400,275,5.2,444,18.91,1930,1895,5052,1438,4,4
"109",109,"MASERATI Quattroporte Executive GT (2006-2008)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_executive_gt-15496","Nagykocsi","Sedan","Benzin",35.7348,8,294,400,275,5.2,444,18.91,1930,1895,5052,1438,4,4
"110",110,"MASERATI Quattroporte Sport GTS (2007-2008)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_sport_gts-15497","Nagykocsi","Sedan","Benzin",36.0408,8,294,400,275,5.2,444,18.91,1930,1895,5052,1438,4,4
"111",111,"MASERATI Quattroporte (2009-2012)","https://katalogus.hasznaltauto.hu/maserati/quattroporte-15498","Nagykocsi","Sedan","Benzin",39.33693,8,294,400,270,5.6,345,14.71,2065,1885,5097,1438,4,4
"112",112,"MASERATI Quattroporte S (2009-2012)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_s-15499","Nagykocsi","Sedan","Benzin",42.32905,8,317,431,280,5.4,369,15.71,2065,1885,5097,1438,4,4
"113",113,"MASERATI Quattroporte Sport GTS (2009-2012)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_sport_gts-15500","Nagykocsi","Sedan","Benzin",45.63613,8,317,431,285,5.1,369,15.71,2065,1885,5097,1438,4,4
"114",114,"MASERATI Quattroporte 3.0 V6 S Q4 Aut. (2013–)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.0_v6_s_q4_aut.-15501","Nagykocsi","Sedan","Benzin",37.811342,6,301,409,283,4.9,246,10.61,1920,1948,5262,1481,4,4
"115",115,"MASERATI Quattroporte 3.8 V8 GTS (Automata)  (2013–)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.8_v8_gts_automata-15502","Nagykocsi","Sedan","Benzin",51.246355,8,390,530,307,4.7,274,11.81,1900,1948,5262,1481,4,4
"116",116,"MASERATI Quattroporte 3.0 V6 S (Automata)  (2016–)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.0_v6_s_automata-100718","Nagykocsi","Sedan","Benzin",36.86351,6,301,409,285,5.1,242,10.41,2065,1948,5262,1481,4,4
"117",117,"MASERATI Quattroporte 3.0 D (Automata)  (2016–)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.0_d_automata-100719","Nagykocsi","Sedan","Dízel",33.7108,6,202,275,250,6.4,163,6.21,2065,1948,5262,1481,4,4
"118",118,"MASERATI Quattroporte 3.0 V6 S Q4 EURO6 (Automata)  (2016–)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.0_v6_s_q4_euro6_automata-103751","Nagykocsi","Sedan","Benzin",38.310357,6,301,409,283,4.9,246,10.61,2065,1948,5262,1481,4,4
"119",119,"MASERATI Quattroporte 3.8 V8 GTS EURO6 (Automata)  (2016–)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.8_v8_gts_euro6_automata-103752","Nagykocsi","Sedan","Benzin",51.74537,8,390,530,307,4.7,274,11.81,2065,1948,5262,1481,4,4
"120",120,"MASERATI Quattroporte 3.0 V6 S (Automata)  (2018.)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.0_v6_s_automata-117558","Nagykocsi","Sedan","Benzin",40.047212,6,316,430,288,5,223,9.61,2105,1948,5262,1481,4,4
"121",121,"MASERATI Quattroporte 3.0 V6 S GranLusso (Automata)  (2018.)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.0_v6_s_granlusso_automata-117559","Nagykocsi","Sedan","Benzin",44.049173,6,316,430,288,5,223,9.61,2105,1948,5262,1481,4,4
"122",122,"MASERATI Quattroporte 3.0 V6 S GranSport (Automata)  (2018.)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.0_v6_s_gransport_automata-117560","Nagykocsi","Sedan","Benzin",44.049173,6,316,430,288,5,223,9.61,2105,1948,5262,1481,4,4
"123",123,"MASERATI Quattroporte 3.0 V6 S Q4 (Automata)  (2018–)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.0_v6_s_q4_automata-117561","Nagykocsi","Sedan","Benzin",42.394046,6,316,430,288,4.8,278,12.01,2105,1948,5262,1481,4,4
"124",124,"MASERATI Quattroporte 3.0 V6 S Q4 GranLusso (Automata)  (2018–)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.0_v6_s_q4_granlusso_automata-117562","Nagykocsi","Sedan","Benzin",46.480258,6,316,430,288,4.8,278,12.01,2105,1948,5262,1481,4,4
"125",125,"MASERATI Quattroporte 3.0 V6 S Q4 GranSport (Automata)  (2018–)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.0_v6_s_q4_gransport_automata-117563","Nagykocsi","Sedan","Benzin",46.480258,6,316,430,288,4.8,278,12.01,2105,1948,5262,1481,4,4
"126",126,"MASERATI Quattroporte 3.8 V8 GTS EURO6 GranLusso (Automata)  (2018.)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.8_v8_gts_euro6_granlusso_automata-117564","Nagykocsi","Sedan","Benzin",58.230436,8,390,530,307,4.7,274,11.81,2065,1948,5262,1481,4,4
"127",127,"MASERATI Quattroporte 3.8 V8 GTS EURO6 GranSport (Automata)  (2018.)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.8_v8_gts_euro6_gransport_automata-117565","Nagykocsi","Sedan","Benzin",58.230436,8,390,530,307,4.7,274,11.81,2065,1948,5262,1481,4,4
"128",128,"MASERATI Quattroporte 3.0 D GranLusso (Automata)  (2018–)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.0_d_granlusso_automata-117566","Nagykocsi","Sedan","Dízel",40.681431,6,202,275,250,6.4,163,6.21,2065,1948,5262,1481,4,4
"129",129,"MASERATI Quattroporte 3.0 D GranSport (Automata)  (2018–)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.0_d_gransport_automata-117567","Nagykocsi","Sedan","Dízel",40.681431,6,202,275,250,6.4,163,6.21,2065,1948,5262,1481,4,4
"130",130,"MASERATI Quattroporte 3.0 V6 S (Automata)  (2020–)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.0_v6_s_automata-128358","Nagykocsi","Sedan","Benzin",43.467889,6,316,430,288,5,226,9.71,2105,1948,5262,1481,4,4
"131",131,"MASERATI Quattroporte 3.0 V6 S GranLusso (Automata)  (2020–)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.0_v6_s_granlusso_automata-128359","Nagykocsi","Sedan","Benzin",47.817728,6,316,430,288,5,226,9.71,2105,1948,5262,1481,4,4
"132",132,"MASERATI Quattroporte 3.0 V6 S GranSport (Automata)  (2020–)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.0_v6_s_gransport_automata-128360","Nagykocsi","Sedan","Benzin",47.817728,6,316,430,288,5,226,9.71,2105,1948,5262,1481,4,4
"133",133,"MASERATI Shamal V8 (1991-1996)","https://katalogus.hasznaltauto.hu/maserati/shamal_v8-15475","Nagykocsi","Coupe","Benzin",NA,8,240,326,270,5.3,NA,NA,1765,1850,4100,1300,2,4
"134",134,"MASERATI Spyder (1992-1994)","https://katalogus.hasznaltauto.hu/maserati/spyder-15478","Nagykocsi","Cabrio","Benzin",NA,6,164,223,NA,NA,NA,NA,NA,1715,4040,1310,2,4
"135",135,"MASERATI Spyder (1991-1995)","https://katalogus.hasznaltauto.hu/maserati/spyder-15479","Nagykocsi","Cabrio","Benzin",NA,6,165,224,220,6.2,NA,NA,NA,1715,4040,1310,2,4
"136",136,"MASERATI Spyder GT (2004-2006)","https://katalogus.hasznaltauto.hu/maserati/spyder_gt-15482","Nagykocsi","Coupe","Benzin",24.75,8,287,390,285,5,390,16.61,1940,1822,4303,1305,2,2
"137",137,"MASERATI Spyder Cambiocorsa (Automata)  (2004-2006)","https://katalogus.hasznaltauto.hu/maserati/spyder_cambiocorsa_automata-15483","Nagykocsi","Coupe","Benzin",26.484375,8,287,390,283,5,390,16.61,1940,1822,4303,1305,2,2
"138",138,"MASERATI Spyder 90 (2004-2005)","https://katalogus.hasznaltauto.hu/maserati/spyder_90-15484","Nagykocsi","Coupe","Benzin",28.25,8,287,390,283,5,390,16.61,1940,1822,4303,1305,2,2
